midPrice,sell,buy,installment,updated_at
,1329730,1296486,1329730,2024-07-06T00:00:00.000Z
,1329321,1296087,1329321,2024-07-05T00:00:00.000Z
,1326253,1293096,1326253,2024-07-04T00:00:00.000Z
,1313303,1280470,1313303,2024-07-03T00:00:00.000Z
,1316149,1283245,1316149,2024-07-02T00:00:00.000Z
,1311141,1278362,1311141,2024-07-01T00:00:00.000Z
,1308529,1275815,1308529,2024-06-30T00:00:00.000Z
,1308529,1275815,1308529,2024-06-29T00:00:00.000Z
,1308148,1275444,1308148,2024-06-28T00:00:00.000Z
,1298156,1265702,1298156,2024-06-27T00:00:00.000Z
,1309031,1276305,1309031,2024-06-26T00:00:00.000Z
,1314137,1281283,1314137,2024-06-25T00:00:00.000Z
,1308144,1275440,1308144,2024-06-24T00:00:00.000Z
,1319552,1286563,1319552,2024-06-23T00:00:00.000Z
,1319552,1286563,1319552,2024-06-22T00:00:00.000Z
,1319273,1286291,1319273,2024-06-21T00:00:00.000Z
,1303377,1270792,1303377,2024-06-20T00:00:00.000Z
,1297191,1264761,1297191,2024-06-19T00:00:00.000Z
,1290210,1257954,1290210,2024-06-18T00:00:00.000Z
,1282258,1250201,1282258,2024-06-17T00:00:00.000Z
,1282725,1250656,1282725,2024-06-16T00:00:00.000Z
,1282725,1250656,1282725,2024-06-15T00:00:00.000Z
,1282321,1250262,1282321,2024-06-14T00:00:00.000Z
,1290030,1257779,1290030,2024-06-13T00:00:00.000Z
,1287091,1254913,1287091,2024-06-12T00:00:00.000Z
,1279112,1247134,1279112,2024-06-11T00:00:00.000Z
,1278064,1246112,1278064,2024-06-10T00:00:00.000Z
,1313358,1280524,1313358,2024-06-09T00:00:00.000Z
,1313358,1280524,1313358,2024-06-08T00:00:00.000Z
,1312966,1280141,1312966,2024-06-07T00:00:00.000Z
,1297273,1264841,1297273,2024-06-06T00:00:00.000Z
,1285247,1253115,1285247,2024-06-05T00:00:00.000Z
,1297125,1264696,1297125,2024-06-04T00:00:00.000Z
,1283155,1251076,1283155,2024-06-03T00:00:00.000Z
,1286501,1254338,1286501,2024-06-02T00:00:00.000Z
,1286501,1254338,1286501,2024-06-01T00:00:00.000Z
,1286211,1254055,1286211,2024-05-31T00:00:00.000Z
,1278230,1246274,1278230,2024-05-30T00:00:00.000Z
,1286194,1254039,1286194,2024-05-29T00:00:00.000Z
,1281140,1249111,1281140,2024-05-28T00:00:00.000Z
,1276158,1244254,1276158,2024-05-27T00:00:00.000Z
,1274400,1242540,1274400,2024-05-26T00:00:00.000Z
,1274400,1242540,1274400,2024-05-25T00:00:00.000Z
,1274069,1242217,1274069,2024-05-24T00:00:00.000Z
,1305092,1272464,1305092,2024-05-23T00:00:00.000Z
,1305342,1272708,1305342,2024-05-22T00:00:00.000Z
,1306391,1273731,1306391,2024-05-21T00:00:00.000Z
,1298379,1265919,1298379,2024-05-20T00:00:00.000Z
,1291723,1259429,1291723,2024-05-19T00:00:00.000Z
,1291723,1259429,1291723,2024-05-18T00:00:00.000Z
,1291290,1259007,1291290,2024-05-17T00:00:00.000Z
,1302092,1269539,1302092,2024-05-16T00:00:00.000Z
,1280104,1248101,1280104,2024-05-15T00:00:00.000Z
,1273184,1241354,1273184,2024-05-14T00:00:00.000Z
,1281113,1249085,1281113,2024-05-13T00:00:00.000Z
,1276613,1244697,1276613,2024-05-12T00:00:00.000Z
,1276613,1244697,1276613,2024-05-11T00:00:00.000Z
,1276205,1244299,1276205,2024-05-10T00:00:00.000Z
,1257408,1225972,1257408,2024-05-09T00:00:00.000Z
